order_id,order_date,region,city,category,sub_category,product,customer_segment,sales,profit,discount,quantity
1060,2024-07-28,East,Bhubaneswar,Technology,Phone,Phone,Consumer,4257.77,443.83,0.0,4
1061,2024-07-21,South,Chennai,Technology,Laptop,Laptop,Consumer,690.36,149.06,0.2,4
1062,2024-01-18,South,Chennai,Furniture,Chair,Chair,Consumer,4761.69,407.35,0.0,6
1063,2024-03-11,North,Delhi,Office Supplies,Paper,Paper,Home Office,764.87,86.39,0.2,6
1064,2024-05-05,North,Delhi,Technology,Laptop,Laptop,Consumer,3330.85,945.13,0.15,10
1065,2024-07-08,North,Chandigarh,Furniture,Chair,Chair,Consumer,1723.67,176.72,0.2,8
1066,2024-02-25,North,Chandigarh,Office Supplies,Pen,Pen,Consumer,2672.01,246.8,0.1,9
1067,2024-10-16,South,Chennai,Furniture,Chair,Chair,Consumer,2879.93,629.71,0.2,10
1068,2024-01-04,North,Delhi,Furniture,Table,Table,Consumer,514.79,126.94,0.2,10
1069,2024-08-30,West,Mumbai,Technology,Phone,Phone,Consumer,3515.51,202.42,0.2,3
1070,2024-12-04,East,Kolkata,Technology,Laptop,Laptop,Corporate,1796.59,340.93,0.0,7
1071,2024-02-11,West,Mumbai,Technology,Laptop,Laptop,Home Office,2952.71,649.24,0.2,10
1072,2024-03-09,South,Chennai,Technology,Phone,Phone,Home Office,1154.49,283.32,0.15,7
1073,2024-09-27,East,Kolkata,Technology,Phone,Phone,Corporate,2701.07,353.59,0.0,1
1074,2024-12-26,North,Delhi,Office Supplies,Paper,Paper,Corporate,3815.95,924.31,0.2,4
1075,2024-10-04,East,Bhubaneswar,Technology,Phone,Phone,Home Office,3497.59,444.81,0.05,1
1076,2024-11-17,South,Bengaluru,Office Supplies,Pen,Pen,Consumer,302.77,55.17,0.15,6
1077,2024-01-14,East,Kolkata,Technology,Phone,Phone,Consumer,889.38,255.15,0.0,1
1078,2024-05-26,West,Pune,Technology,Phone,Phone,Corporate,4555.21,712.44,0.0,3
1079,2024-06-05,East,Kolkata,Office Supplies,Pen,Pen,Corporate,3849.34,335.41,0.05,10
1080,2024-11-29,South,Bengaluru,Furniture,Table,Table,Corporate,1593.95,329.91,0.05,4
1081,2024-09-21,West,Mumbai,Office Supplies,Paper,Paper,Home Office,4312.59,1256.79,0.05,7
1082,2024-02-08,West,Pune,Furniture,Table,Table,Corporate,1357.77,350.05,0.2,5
1083,2024-10-28,West,Mumbai,Furniture,Table,Table,Corporate,1422.34,348.49,0.1,1
1084,2024-03-19,East,Bhubaneswar,Office Supplies,Paper,Paper,Consumer,1133.58,121.73,0.0,2
1085,2024-03-10,South,Bengaluru,Furniture,Chair,Chair,Consumer,2997.89,371.2,0.2,4
1086,2024-10-20,North,Chandigarh,Office Supplies,Pen,Pen,Home Office,1800.3,399.22,0.05,1
1087,2024-01-17,East,Kolkata,Technology,Laptop,Laptop,Corporate,2776.04,273.11,0.0,1
1088,2024-10-26,East,Bhubaneswar,Furniture,Table,Table,Corporate,1949.77,498.91,0.0,8
1089,2024-01-19,West,Mumbai,Furniture,Table,Table,Home Office,803.23,228.68,0.0,5
1090,2024-04-06,East,Kolkata,Technology,Laptop,Laptop,Corporate,3178.48,329.31,0.0,7
1091,2024-02-03,West,Mumbai,Furniture,Table,Table,Corporate,4544.68,686.31,0.1,5
1092,2024-05-13,North,Chandigarh,Technology,Laptop,Laptop,Corporate,2117.92,472.19,0.2,5
1093,2024-01-30,South,Bengaluru,Technology,Phone,Phone,Corporate,3506.92,414.02,0.05,7
1094,2024-11-21,West,Mumbai,Furniture,Table,Table,Home Office,3175.04,883.5,0.0,8
1095,2024-06-28,North,Chandigarh,Technology,Phone,Phone,Home Office,320.82,14.47,0.05,5
1096,2024-07-01,North,Chandigarh,Office Supplies,Pen,Pen,Home Office,1784.47,131.39,0.2,2
1097,2024-08-07,East,Kolkata,Furniture,Table,Table,Corporate,1687.79,324.71,0.15,3
1098,2024-09-14,East,Kolkata,Furniture,Chair,Chair,Home Office,2063.91,551.1,0.0,9
1099,2024-05-21,South,Chennai,Office Supplies,Pen,Pen,Home Office,2888.51,691.04,0.05,3
1100,2024-02-07,South,Bengaluru,Technology,Laptop,Laptop,Corporate,1697.63,399.55,0.1,1
